Area,Block,Restaurant,Category,Item,Variant,Price,Notes
CSE Block ,Apartment,LovelyBakeStudio,Cold Coffee,Choco Frappe,,165,
CSE Block ,Apartment,LovelyBakeStudio,Cold Coffee,Caramel Frappe,,165,
CSE Block ,Apartment,LovelyBakeStudio,Cold Coffee,Irish Frappe,,165,
CSE Block ,Apartment,LovelyBakeStudio,Cold Coffee,Hazelnut Frappe,,165,
CSE Block ,Apartment,LovelyBakeStudio,Cold Coffee,Tiramisu Frappe,,165,
CSE Block ,Apartment,LovelyBakeStudio,Signature Shakes,Kesar Elaichi Shake,,145,
CSE Block ,Apartment,LovelyBakeStudio,Signature Shakes,Brownie Blast Shake,,185,
CSE Block ,Apartment,LovelyBakeStudio,Signature Shakes,Truffle Shake,,185,
CSE Block ,Apartment,LovelyBakeStudio,Signature Shakes,Cafe Brownie Shake,,185,
CSE Block ,Apartment,LovelyBakeStudio,Signature Shakes,Kit Kat Shake,,185,
CSE Block ,Apartment,LovelyBakeStudio,Signature Shakes,Oreo Shake,,185,
CSE Block ,Apartment,LovelyBakeStudio,Shakes,Chocolate Shake,,105,
CSE Block ,Apartment,LovelyBakeStudio,Shakes,Strawberry Shake,,105,
CSE Block ,Apartment,LovelyBakeStudio,Shakes,Vanilla Shake,,105,
CSE Block ,Apartment,LovelyBakeStudio,Shakes,Pineapple Shake,,105,
CSE Block ,Apartment,LovelyBakeStudio,Shakes,Mango Shake,,105,
CSE Block ,Apartment,LovelyBakeStudio,Shakes,Banana Shake,,105,
CSE Block ,Apartment,LovelyBakeStudio,Shakes,Black Current Shake,,125,
CSE Block ,Apartment,LovelyBakeStudio,Mocktails,Monday Blue,,165,
CSE Block ,Apartment,LovelyBakeStudio,Mocktails,Pina Colada (Milk Based),,165,
CSE Block ,Apartment,LovelyBakeStudio,Ice Tea,Club Ice Tea,,95,
CSE Block ,Apartment,LovelyBakeStudio,Ice Tea,Peach Ice Tea,,95,
CSE Block ,Apartment,LovelyBakeStudio,Ice Tea,Passion Fruit Tea,,95,
CSE Block ,Apartment,LovelyBakeStudio,Tea,Masala Tea,,45,
CSE Block ,Apartment,LovelyBakeStudio,Desserts,Vanilla Fudge Sundae,,120,
CSE Block ,Apartment,LovelyBakeStudio,Desserts,Hot Brownie Sundae,,160,
CSE Block ,Apartment,LovelyBakeStudio,Desserts,Bourbon Sundae,,160,
CSE Block ,Apartment,LovelyBakeStudio,Desserts,Choco Truffle Sundae,,160,
CSE Block ,Apartment,LovelyBakeStudio,Add On Extra,Syrup Chocolate,,30,
CSE Block ,Apartment,LovelyBakeStudio,Add On Extra,Ice Cream Scoop Vanilla,,40,
CSE Block ,Apartment,LovelyBakeStudio,Add On Extra,Ice Cream Scoop Chocolate,,40,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Fresh Lime Soda,,105,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Masala Lemonade,,125,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Peach Lemonade,,125,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Pink Lemonade,,125,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Masala Coke,,125,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Ginger Ale,,125,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Green Apple Soda,,125,
CSE Block ,Apartment,LovelyBakeStudio,Coolers,Ocean Blue (Ice Based),,125,
CSE Block ,Apartment,LovelyBakeStudio,Mojitos,Classic Virgin Mojito,,135,
CSE Block ,Apartment,LovelyBakeStudio,Mojitos,Luscious Mango,,135,
CSE Block ,Apartment,LovelyBakeStudio,Mojitos,Water Melon,,135,
CSE Block ,Apartment,LovelyBakeStudio,Mojitos,Passion Fruit,,135,
CSE Block ,Apartment,LovelyBakeStudio,Mojitos,Green Apple,,135,
CSE Block ,Apartment,LovelyBakeStudio,Mojitos,Peach Mojito,,135,
CSE Block ,Apartment,LovelyBakeStudio,Mojitos,Blue Moon Mojito,,135,
CSE Block ,Apartment,LovelyBakeStudio,Softy,Mango / Strawberry / Paan / Chocolate / Vanilla,,35,
CSE Block ,Apartment,South City Cafe,DOSA,Plain Dosa,,60,
CSE Block ,Apartment,South City Cafe,DOSA,Paper Dosa,,60,
CSE Block ,Apartment,South City Cafe,DOSA,Masala Dosa,,70,
CSE Block ,Apartment,South City Cafe,DOSA,Butter Dosa,,70,
CSE Block ,Apartment,South City Cafe,DOSA,Onion Dosa,,70,
CSE Block ,Apartment,South City Cafe,DOSA,Ghee Podi Plain Dosa,,80,
CSE Block ,Apartment,South City Cafe,DOSA,Ghee Plain Dosa,,80,
CSE Block ,Apartment,South City Cafe,DOSA,Ghee Masala Dosa,,90,
CSE Block ,Apartment,South City Cafe,DOSA,Ghee Podi Masala Dosa,,90,
CSE Block ,Apartment,South City Cafe,DOSA,Benne Dosa,,90,
CSE Block ,Apartment,South City Cafe,DOSA,Butter Masala Dosa,,90,
CSE Block ,Apartment,South City Cafe,DOSA,Paneer Dosa,,100,
CSE Block ,Apartment,South City Cafe,DOSA,Ghee Podi Paneer Dosa,,120,
CSE Block ,Apartment,South City Cafe,DOSA,Schezwan Cheese Paneer Dosa,,120,
CSE Block ,Apartment,South City Cafe,DOSA,Jini Dosa,,120,
CSE Block ,Apartment,South City Cafe,DOSA,Kadhai Paneer Dosa,,120,
CSE Block ,Apartment,South City Cafe,DOSA,Mysore Masala Dosa,,120,
CSE Block ,Apartment,South City Cafe,DOSA,Cheese Chilli Paneer Dosa,,140,
CSE Block ,Apartment,South City Cafe,DOSA,South City Spl. Dosa,,200,
CSE Block ,Apartment,South City Cafe,IDLI,Plane Idli (4Pcs.),,50,
CSE Block ,Apartment,South City Cafe,IDLI,Ghee Podi Idli (3Pcs.),,60,
CSE Block ,Apartment,South City Cafe,IDLI,Thatte Idli (1Pcs.),,50,
CSE Block ,Apartment,South City Cafe,IDLI,Fried Idli (3Pcs.),,70,
CSE Block ,Apartment,South City Cafe,SNACKS,Veg. Omelette,,50,
CSE Block ,Apartment,South City Cafe,SNACKS,Poha,,50,
CSE Block ,Apartment,South City Cafe,SNACKS,Medhu Vada (4 Pcs.),,60,
CSE Block ,Apartment,South City Cafe,SNACKS,Dahi Vada (2 Pcs.),,70,
CSE Block ,Apartment,South City Cafe,COMBOS,Idli & Vada,,60,
CSE Block ,Apartment,South City Cafe,COMBOS,Breakfast Combo (2 Pc Idli + 1 Vada + Poha + Tea),,90,
CSE Block ,Apartment,South City Cafe,LASSI,Sweet Lassi,,50,
CSE Block ,Apartment,South City Cafe,LASSI,Salted Lassi,,50,
CSE Block ,Apartment,South City Cafe,UTTAPAM,Onion Uttapam,,70,
CSE Block ,Apartment,South City Cafe,UTTAPAM,Ghee Podi Onion Uttpam,,90,
CSE Block ,Apartment,South City Cafe,UTTAPAM,Veg. Uttapam,,80,
CSE Block ,Apartment,South City Cafe,UTTAPAM,Paneer Uttapam,,100,
CSE Block ,Apartment,South City Cafe,UTTAPAM,Cheese Uttapam,,120,
CSE Block ,Apartment,Nescafe,SANDWICH,Veg Cheese Sandwich,,90,
CSE Block ,Apartment,Nescafe,SANDWICH,Paneer Makhni Sandwich,,110,
CSE Block ,Apartment,Nescafe,SANDWICH,Chipotle Paneer Sandwich (With Fries),,130,
CSE Block ,Apartment,Nescafe,SANDWICH,Paneer Mint Sandwich (2 Piece),,50,
CSE Block ,Apartment,Nescafe,FRIES,Salted Fries,,90,
CSE Block ,Apartment,Nescafe,FRIES,Masala/ Peri Peri Fries,,90,
CSE Block ,Apartment,Nescafe,FRIES,Mint Fries,,90,
CSE Block ,Apartment,Nescafe,FRIES,Cheesy Fries,,100,
CSE Block ,Apartment,Nescafe,FRIES,Loaded Fries,,130,
CSE Block ,Apartment,Nescafe,FRIES,Ultimate Fries Bucket,,150,
CSE Block ,Apartment,Nescafe,MOJITO,Virgin Mojito,,70,
CSE Block ,Apartment,Nescafe,MOJITO,Green Apple Mojito,,70,
CSE Block ,Apartment,Nescafe,MOJITO,Watermelon Mojito,,70,
CSE Block ,Apartment,Nescafe,MOJITO,Passion Fruit,,70,
CSE Block ,Apartment,Nescafe,MOJITO,Peach Mojito,,70,
CSE Block ,Apartment,Nescafe,PASTA,White Sauce Pasta,,100,
CSE Block ,Apartment,Nescafe,PASTA,Red Sauce Pasta,,100,
CSE Block ,Apartment,Nescafe,PASTA,Mix Sauce Pasta,,110,
CSE Block ,Apartment,Nescafe,WRAP,Aloo Tikki Wrap,,70,
CSE Block ,Apartment,Nescafe,WRAP,Paneer Wrap,,85,
CSE Block ,Apartment,Nescafe,KRUSHER,Chocolate Krusher,,80,
CSE Block ,Apartment,Nescafe,KRUSHER,Strawberry Krusher,,90,
CSE Block ,Apartment,Nescafe,KRUSHER,Banana Caramel,,90,
CSE Block ,Apartment,Nescafe,KRUSHER,Mango Alphanso Krusher,,90,
CSE Block ,Apartment,Nescafe,KRUSHER,Blueberry Krusher,,90,
CSE Block ,Apartment,Nescafe,KRUSHER,Salted Caramel,,90,
CSE Block ,Apartment,Nescafe,KRUSHER,Belgian Chocolate Krusher,,100,
CSE Block ,Apartment,Nescafe,KRUSHER,Kit-kat Krusher,,100,
CSE Block ,Apartment,Nescafe,KRUSHER,Brownie Krusher,,110,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Iced Americano,,70,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Affogato,,80,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Iced Latte,,90,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Iced Cappuccino,,90,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Classic Cold Coffee with ice cream,,90,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Signature Cold Coffee with ice cream (freshly brewed),,100,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Iced Mocha,,100,
CSE Block ,Apartment,Nescafe,COLD COFFEE,Strong Cold Coffee,,110,
CSE Block ,Apartment,Nescafe,BURGER,Veg Cheese Burger,,60,
CSE Block ,Apartment,Nescafe,BURGER,Shezwan Cheese Burger,,70,
CSE Block ,Apartment,Nescafe,BURGER,Maharaja Burger,,100,
CSE Block ,Apartment,Nescafe,BURGER,Mac-Paneer Burger,,100,
CSE Block ,Apartment,Nescafe,SUB,Paneer Tikka Sub,,90,
CSE Block ,Apartment,Nescafe,SUB,Aloo Tikki Sub,,90,
CSE Block ,Apartment,Nescafe,SUB,Mix Sub,,110,
CSE Block ,Apartment,Basant Icecream,,Strawberry Shake,,69,
CSE Block ,Apartment,Basant Icecream,,Vanilla Shake,,69,
CSE Block ,Apartment,Basant Icecream,,Butterscotch Shake,,69,
CSE Block ,Apartment,Basant Icecream,,Cold Coffee,,79,
CSE Block ,Apartment,Basant Icecream,,Chocolate Oreo Shake,,89,
CSE Block ,Apartment,Basant Icecream,,Tutti Frutti Shake,,89,
CSE Block ,Apartment,Basant Icecream,,Melting Rose Shake,,99,
CSE Block ,Apartment,Basant Icecream,,Ferrero Rocher Shake,,110,
CSE Block ,Apartment,Basant Icecream,,Chocolate Brownie Shake,,99,
CSE Block ,Apartment,Basant Icecream,,Alphonso Mango Shake,,79,
CSE Block ,Apartment,Basant Icecream,,Red Velvet Shake,,99,
CSE Block ,Apartment,Basant Icecream,,Lotus Biscoff Shake,,99,
CSE Block ,Apartment,Basant Icecream,,KitKat Shake,,99,
CSE Block ,Apartment,Basant Icecream,,Classic Nutella Shake,,110,
CSE Block ,Apartment,Basant Icecream,,Vanilla (Single Scoop),,40,
CSE Block ,Apartment,Basant Icecream,,Vanilla (Double Scoop),,70,
CSE Block ,Apartment,Basant Icecream,,Strawberry (Single Scoop),,40,
CSE Block ,Apartment,Basant Icecream,,Strawberry (Double Scoop),,70,
CSE Block ,Apartment,Basant Icecream,,Mango (Single Scoop),,40,
CSE Block ,Apartment,Basant Icecream,,Mango (Double Scoop),,70,
CSE Block ,Apartment,Basant Icecream,,Blue Berry (Single Scoop),,50,
CSE Block ,Apartment,Basant Icecream,,Blue Berry (Double Scoop),,90,
CSE Block ,Apartment,Basant Icecream,,Black Currant (Single Scoop),,50,
CSE Block ,Apartment,Basant Icecream,,Black Currant (Double Scoop),,90,
CSE Block ,Apartment,Basant Icecream,,Butterscotch (Single Scoop),,50,
CSE Block ,Apartment,Basant Icecream,,Butterscotch (Double Scoop),,90,
CSE Block ,Apartment,Basant Icecream,,Chocolate (Single Scoop),,50,
CSE Block ,Apartment,Basant Icecream,,Chocolate (Double Scoop),,90,
CSE Block ,Apartment,Basant Icecream,,Bubble Gum (Single Scoop),,50,
CSE Block ,Apartment,Basant Icecream,,Bubble Gum (Double Scoop),,90,
CSE Block ,Apartment,Basant Icecream,,Pan Ice Cream (Single Scoop),,50,
CSE Block ,Apartment,Basant Icecream,,Pan Ice Cream (Double Scoop),,90,
CSE Block ,Apartment,Basant Icecream,,Tutti Frutti (Single Scoop),,50,
CSE Block ,Apartment,Basant Icecream,,Tutti Frutti (Double Scoop),,90,
CSE Block ,Apartment,Basant Icecream,,Midnight Dark Chocolate (Single Scoop),,60,
CSE Block ,Apartment,Basant Icecream,,Midnight Dark Chocolate (Double Scoop),,110,
CSE Block ,Apartment,Basant Icecream,,Brownie Chocolate (Single Scoop),,60,
CSE Block ,Apartment,Basant Icecream,,Brownie Chocolate (Double Scoop),,110,
CSE Block ,Apartment,Basant Icecream,,Basant Special Fruit Ice Cream (Single Scoop),,70,
CSE Block ,Apartment,Basant Icecream,,Basant Special Fruit Ice Cream (Double Scoop),,120,
CSE Block ,Apartment,Basant Icecream,,Kashmiri Gulkand (Single Scoop),,60,
CSE Block ,Apartment,Basant Icecream,,Kashmiri Gulkand (Double Scoop),,110,
CSE Block ,Apartment,Basant Icecream,,Ras Malai (Single Scoop),,60,
CSE Block ,Apartment,Basant Icecream,,Ras Malai (Double Scoop),,110,
CSE Block ,Apartment,Basant Icecream,,Pop Corn Ice Cream (Single Scoop),,60,
CSE Block ,Apartment,Basant Icecream,,Pop Corn Ice Cream (Double Scoop),,110,
CSE Block ,Apartment,Basant Icecream,,Kaju Kishmish (Single Scoop),,70,
CSE Block ,Apartment,Basant Icecream,,Kaju Kishmish (Double Scoop),,120,
CSE Block ,Apartment,Basant Icecream,,Roasted Almond (Single Scoop),,60,
CSE Block ,Apartment,Basant Icecream,,Roasted Almond (Double Scoop),,110,
CSE Block ,Apartment,Basant Icecream,,American Nut (Single Scoop),,60,
CSE Block ,Apartment,Basant Icecream,,American Nut (Double Scoop),,110,
CSE Block ,Apartment,Basant Icecream,,Ferrero Rocher (Single Scoop),,80,
CSE Block ,Apartment,Basant Icecream,,Ferrero Rocher (Double Scoop),,150,
CSE Block ,Apartment,Basant Icecream,,Coffee 'n' Nut (Single Scoop),,80,
CSE Block ,Apartment,Basant Icecream,,Coffee 'n' Nut (Double Scoop),,150,
CSE Block ,Apartment,Basant Icecream,,Mint Mojito,,60,
CSE Block ,Apartment,Basant Icecream,,Virgin Mojito,,60,
CSE Block ,Apartment,Basant Icecream,,Green Apple,,60,
CSE Block ,Apartment,Basant Icecream,,Blue Curacao,,60,
CSE Block ,Apartment,Basant Icecream,,Masala Lemonade,,60,
CSE Block ,Apartment,Basant Icecream,,Watermelon Mojito,,60,
CSE Block ,Apartment,Basant Icecream,,Lemon Iced Tea,,80,
CSE Block ,Apartment,Basant Icecream,,Chocolate Brownie Nitrogen Sundae,,110,
CSE Block ,Apartment,Basant Icecream,,Cookie Cream Nitrogen Sundae,,90,
CSE Block ,Apartment,Basant Icecream,,Black Currant Nitrogen Sundae,,90,
CSE Block ,Apartment,Basant Icecream,,5 Star Crunchy Nitrogen Sundae,,90,
CSE Block ,Apartment,Basant Icecream,,Red Velvet Cheese Nitrogen Sundae,,110,
CSE Block ,Apartment,Basant Icecream,,Fresh Strawberry Nitrogen Sundae,,90,
CSE Block ,Apartment,Basant Icecream,,Onion Pizza (8-inch),,80,
CSE Block ,Apartment,Basant Icecream,,Onion Pizza (10-inch),,150,
CSE Block ,Apartment,Basant Icecream,,Capsicum Pizza (8-inch),,80,
CSE Block ,Apartment,Basant Icecream,,Capsicum Pizza (10-inch),,150,
CSE Block ,Apartment,Basant Icecream,,Sweet Corn Pizza (8-inch),,80,
CSE Block ,Apartment,Basant Icecream,,Sweet Corn Pizza (10-inch),,150,
CSE Block ,Apartment,Basant Icecream,,Tomato Pizza (8-inch),,80,
CSE Block ,Apartment,Basant Icecream,,Tomato Pizza (10-inch),,150,
CSE Block ,Apartment,Basant Icecream,,Onion & Paneer Pizza (8-inch),,100,
CSE Block ,Apartment,Basant Icecream,,Onion & Paneer Pizza (10-inch),,180,
CSE Block ,Apartment,Basant Icecream,,Sweet Corn Double Topping Pizza (8-inch),,100,
CSE Block ,Apartment,Basant Icecream,,Sweet Corn Double Topping Pizza (10-inch),,180,
CSE Block ,Apartment,Basant Icecream,,Onion & Capsicum Pizza (8-inch),,100,
CSE Block ,Apartment,Basant Icecream,,Onion & Capsicum Pizza (10-inch),,180,
CSE Block ,Apartment,Basant Icecream,,Mushroom Pizza (8-inch),,100,
CSE Block ,Apartment,Basant Icecream,,Mushroom Pizza (10-inch),,180,
CSE Block ,Apartment,Basant Icecream,,Fresh Veg Pizza (8-inch),,140,
CSE Block ,Apartment,Basant Icecream,,Fresh Veg Pizza (10-inch),,250,
CSE Block ,Apartment,Basant Icecream,,Cheese & Corn Pizza (8-inch),,140,
CSE Block ,Apartment,Basant Icecream,,Cheese & Corn Pizza (10-inch),,250,
CSE Block ,Apartment,Basant Icecream,,Cheese & Tomato Pizza (8-inch),,140,
CSE Block ,Apartment,Basant Icecream,,Cheese & Tomato Pizza (10-inch),,250,
CSE Block ,Apartment,Basant Icecream,,Double Cheese Margherita (8-inch),,140,
CSE Block ,Apartment,Basant Icecream,,Double Cheese Margherita (10-inch),,250,
CSE Block ,Apartment,Basant Icecream,,Farm House Pizza (8-inch),,160,
CSE Block ,Apartment,Basant Icecream,,Farm House Pizza (10-inch),,280,
CSE Block ,Apartment,Basant Icecream,,Pappy Paneer Pizza (8-inch),,160,
CSE Block ,Apartment,Basant Icecream,,Pappy Paneer Pizza (10-inch),,280,
CSE Block ,Apartment,Basant Icecream,,Paneer Makhani Pizza (8-inch),,160,
CSE Block ,Apartment,Basant Icecream,,Paneer Makhani Pizza (10-inch),,280,
CSE Block ,Apartment,Basant Icecream,,Supreme Veg Pizza (8-inch),,160,
CSE Block ,Apartment,Basant Icecream,,Supreme Veg Pizza (10-inch),,280,
CSE Block ,Apartment,Basant Icecream,,Corn Capsicum Tomato Pizza (8-inch),,160,
CSE Block ,Apartment,Basant Icecream,,Corn Capsicum Tomato Pizza (10-inch),,280,
CSE Block ,Apartment,Basant Icecream,,Deluxe Veg Pizza (8-inch),,160,
CSE Block ,Apartment,Basant Icecream,,Deluxe Veg Pizza (10-inch),,280,
CSE Block ,Apartment,Basant Icecream,,Paradise Pizza (8-inch),,160,
CSE Block ,Apartment,Basant Icecream,,Paradise Pizza (10-inch),,280,
CSE Block ,Apartment,Basant Icecream,,Original Masala Maggie,,50,
CSE Block ,Apartment,Basant Icecream,,Green Chilli Maggie,,50,
CSE Block ,Apartment,Basant Icecream,,Special Masala Maggie,,60,
CSE Block ,Apartment,Basant Icecream,,Veg Maggie,,60,
CSE Block ,Apartment,Basant Icecream,,Peri Peri Maggie,,60,
CSE Block ,Apartment,Basant Icecream,,Butter Garlic Maggie,,70,
CSE Block ,Apartment,Basant Icecream,,Cheese Oregano Maggie,,70,
CSE Block ,Apartment,Basant Icecream,,Italian Tomato Maggie,,70,
CSE Block ,Apartment,Basant Icecream,,Biryani Maggie,,80,
CSE Block ,Apartment,Basant Icecream,,Manchurian Maggie,,80,
CSE Block ,Apartment,Basant Icecream,,Cheese Pasta Maggie,,80,
CSE Block ,Apartment,Basant Icecream,,Makhni Gravy Maggie,,80,
CSE Block ,Apartment,Basant Icecream,,White Sauce Pasta,,80,
CSE Block ,Apartment,Basant Icecream,,Red Sauce Pasta,,80,
CSE Block ,Apartment,Basant Icecream,,Mix Sauce Pasta,,90,
CSE Block ,Apartment,Basant Icecream,,Hot & Spicy Pasta,,100,
CSE Block ,Apartment,Basant Icecream,,Baked Pasta,,120,
CSE Block ,Apartment,Basant Icecream,,Exotic Pane Pasta,,120,
CSE Block ,Apartment,Basant Icecream,,Grilled Sandwich,,80,
CSE Block ,Apartment,Basant Icecream,,Spicy Grilled Sandwich,,100,
CSE Block ,Apartment,Basant Icecream,,Cheese Grilled Sandwich,,110,
CSE Block ,Apartment,Basant Icecream,,Paneer Sandwich,,110,
CSE Block ,Apartment,Basant Icecream,,Mix Veg Roll,,60,
CSE Block ,Apartment,Basant Icecream,,Aloo Patty Roll,,80,
CSE Block ,Apartment,Basant Icecream,,Paneer Roll,,80,
CSE Block ,Apartment,Basant Icecream,,Veg Roll,,70,
CSE Block ,Apartment,Basant Icecream,,Cheese Corn Roll,,90,
CSE Block ,Apartment,Basant Icecream,,Chinese Tomato Roll,,90,
CSE Block ,Apartment,Basant Icecream,,Classic Cheese Roll,,130,
CSE Block ,Apartment,Basant Icecream,,Hara Bhara Roll,,130,
CSE Block ,Apartment,Basant Icecream,,Garlic Bread,,80,
CSE Block ,Apartment,Basant Icecream,,Stuffed Garlic Bread,,120,
CSE Block ,Apartment,Basant Icecream,,Zingy Parcel,,60,
CSE Block ,Apartment,Basant Icecream,,Special Milk Badam,,99,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Veggie,Half,59,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Veggie,Full,89,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Veggie,Combo,89,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Spinach,Half,69,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Spinach,Full,99,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Spinach,Combo,99,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Mushroom,Half,69,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Mushroom,Full,99,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Mushroom,Combo,99,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Broccoli,Half,69,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Broccoli,Full,99,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Broccoli,Combo,99,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Paneer,Half,79,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Paneer,Full,109,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Paneer,Combo,109,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Spinach & Corn,Half,79,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Spinach & Corn,Full,109,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Spinach & Corn,Combo,109,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Soya Chaap,Half,79,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Soya Chaap,Full,109,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Soya Chaap,Combo,109,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Veg Dapling,Half,79,
CSE Block ,Apartment,DimSum Box,Wheat Dumplings (6 pcs),Veg Dapling,Full,109,
